Table: Enthalpy [G]
Temperature {K} 	 Pressure {Pa} 	 Specific Enthalpy {J/Kg}
279 	 1600000 	 7.331383e+05
279 	 1800000 	 7.302940e+05
279 	 2000000 	 7.273266e+05
279 	 2200000 	 7.242214e+05
279 	 2400000 	 7.209593e+05
279 	 2600000 	 7.175165e+05
279 	 2800000 	 7.138663e+05
279 	 3000000 	 7.099652e+05
279 	 3200000 	 7.057554e+05
279 	 3400000 	 7.011649e+05
279 	 3600000 	 6.960752e+05
280 	 200000 	 7.513483e+05
280 	 400000 	 7.491053e+05
280 	 600000 	 7.467991e+05
280 	 800000 	 7.444268e+05
280 	 1000000 	 7.419833e+05
280 	 1200000 	 7.394616e+05
280 	 1400000 	 7.368531e+05
280 	 1600000 	 7.341492e+05
280 	 1800000 	 7.313408e+05
280 	 2000000 	 7.284149e+05
280 	 2200000 	 7.253584e+05
280 	 2400000 	 7.221553e+05
280 	 2600000 	 7.187775e+05
280 	 2800000 	 7.151990e+05
280 	 3000000 	 7.113868e+05
280 	 3200000 	 7.072904e+05
280 	 3400000 	 7.028403e+05
280 	 3600000 	 6.979400e+05
281 	 200000 	 7.521614e+05
281 	 400000 	 7.499386e+05
281 	 600000 	 7.476539e+05
281 	 800000 	 7.453046e+05
281 	 1000000 	 7.428848e+05
281 	 1200000 	 7.403877e+05
281 	 1400000 	 7.378078e+05
281 	 1600000 	 7.351357e+05
281 	 1800000 	 7.323624e+05
281 	 2000000 	 7.294759e+05
281 	 2200000 	 7.264639e+05
281 	 2400000 	 7.233102e+05
281 	 2600000 	 7.199946e+05
281 	 2800000 	 7.164913e+05
281 	 3000000 	 7.127654e+05
281 	 3200000 	 7.087749e+05
281 	 3400000 	 7.044578e+05
281 	 3600000 	 6.997263e+05
281 	 3800000 	 6.944895e+05
282 	 200000 	 7.530768e+05
282 	 400000 	 7.508691e+05
282 	 600000 	 7.486010e+05
282 	 800000 	 7.462715e+05
282 	 1000000 	 7.438746e+05
282 	 1200000 	 7.414021e+05
282 	 1400000 	 7.388496e+05
282 	 1600000 	 7.362080e+05
282 	 1800000 	 7.334689e+05
282 	 2000000 	 7.306209e+05
282 	 2200000 	 7.276528e+05
282 	 2400000 	 7.245510e+05
282 	 2600000 	 7.212913e+05
282 	 2800000 	 7.178505e+05
282 	 3000000 	 7.142038e+05
282 	 3200000 	 7.103052e+05
282 	 3400000 	 7.061061e+05
282 	 3600000 	 7.015280e+05
282 	 3800000 	 6.964596e+05
283 	 200000 	 7.538854e+05
283 	 400000 	 7.516991e+05
283 	 600000 	 7.494549e+05
283 	 800000 	 7.471470e+05
283 	 1000000 	 7.447711e+05
283 	 1200000 	 7.423233e+05
283 	 1400000 	 7.397968e+05
283 	 1600000 	 7.371845e+05
283 	 1800000 	 7.344785e+05
283 	 2000000 	 7.316683e+05
283 	 2200000 	 7.287441e+05
283 	 2400000 	 7.256915e+05
283 	 2600000 	 7.224874e+05
283 	 2800000 	 7.191149e+05
283 	 3000000 	 7.155442e+05
283 	 3200000 	 7.117391e+05
283 	 3400000 	 7.076533e+05
283 	 3600000 	 7.032180e+05
283 	 3800000 	 6.983398e+05
284 	 200000 	 7.548017e+05
284 	 400000 	 7.526263e+05
284 	 600000 	 7.503942e+05
284 	 800000 	 7.481037e+05
284 	 1000000 	 7.457493e+05
284 	 1200000 	 7.433254e+05
284 	 1400000 	 7.408261e+05
284 	 1600000 	 7.382437e+05
284 	 1800000 	 7.355698e+05
284 	 2000000 	 7.327954e+05
284 	 2200000 	 7.299098e+05
284 	 2400000 	 7.269005e+05
284 	 2600000 	 7.237508e+05
284 	 2800000 	 7.204387e+05
284 	 3000000 	 7.169384e+05
284 	 3200000 	 7.132199e+05
284 	 3400000 	 7.092382e+05
284 	 3600000 	 7.049372e+05
284 	 3800000 	 7.002322e+05
284 	 4000000 	 6.949888e+05
285 	 200000 	 7.556245e+05
285 	 400000 	 7.534664e+05
285 	 600000 	 7.512539e+05
285 	 800000 	 7.489842e+05
285 	 1000000 	 7.466516e+05
285 	 1200000 	 7.442513e+05
285 	 1400000 	 7.417768e+05
285 	 1600000 	 7.392220e+05
285 	 1800000 	 7.365799e+05
285 	 2000000 	 7.338418e+05
285 	 2200000 	 7.309962e+05
285 	 2400000 	 7.280280e+05
285 	 2600000 	 7.249232e+05
285 	 2800000 	 7.216684e+05
285 	 3000000 	 7.182386e+05
285 	 3200000 	 7.146019e+05
285 	 3400000 	 7.107190e+05
285 	 3600000 	 7.065400e+05
285 	 3800000 	 7.019911e+05
285 	 4000000 	 6.969617e+05
286 	 200000 	 7.565155e+05
286 	 400000 	 7.543763e+05
286 	 600000 	 7.521821e+05
286 	 800000 	 7.499312e+05
286 	 1000000 	 7.476204e+05
286 	 1200000 	 7.452429e+05
286 	 1400000 	 7.427943e+05
286 	 1600000 	 7.402677e+05
286 	 1800000 	 7.376560e+05
286 	 2000000 	 7.349510e+05
286 	 2200000 	 7.321431e+05
286 	 2400000 	 7.292210e+05
286 	 2600000 	 7.261703e+05
286 	 2800000 	 7.229706e+05
286 	 3000000 	 7.196051e+05
286 	 3200000 	 7.160457e+05
286 	 3400000 	 7.122552e+05
286 	 3600000 	 7.081901e+05
286 	 3800000 	 7.037872e+05
286 	 4000000 	 6.989482e+05
286 	 4200000 	 6.935267e+05
287 	 200000 	 7.573195e+05
287 	 400000 	 7.551961e+05
287 	 600000 	 7.530188e+05
287 	 800000 	 7.507861e+05
287 	 1000000 	 7.484956e+05
287 	 1200000 	 7.461408e+05
287 	 1400000 	 7.437167e+05
287 	 1600000 	 7.412168e+05
287 	 1800000 	 7.386348e+05
287 	 2000000 	 7.359633e+05
287 	 2200000 	 7.331931e+05
287 	 2400000 	 7.303131e+05
287 	 2600000 	 7.273107e+05
287 	 2800000 	 7.241683e+05
287 	 3000000 	 7.208656e+05
